,0,1,2
199,0.15,0.7,0.2
200,0.15,0.7,0.4
201,0.15,0.7,0.6
202,0.15,0.7,0.8
203,0.15,0.7,1.0
204,0.15,0.7,1.2
205,0.15,0.7,1.4
206,0.15,0.7,1.6
207,0.15,0.7,1.8
208,0.15,0.7,2.0
209,0.15,0.8,1e-05
210,0.15,0.8,0.2
211,0.15,0.8,0.4
212,0.15,0.8,0.6
213,0.15,0.8,0.8
214,0.15,0.8,1.0
215,0.15,0.8,1.2
216,0.15,0.8,1.4
217,0.15,0.8,1.6
218,0.15,0.8,1.8
219,0.15,0.8,2.0
220,0.15,0.9,1e-05
221,0.15,0.9,0.2
222,0.15,0.9,0.4
223,0.15,0.9,0.6
224,0.15,0.9,0.8
225,0.15,0.9,1.0
226,0.15,0.9,1.2
227,0.15,0.9,1.4
228,0.15,0.9,1.6
229,0.15,0.9,1.8
230,0.15,0.9,2.0
231,0.15,1.0,1e-05
232,0.15,1.0,0.2
233,0.15,1.0,0.4
234,0.15,1.0,0.6
235,0.15,1.0,0.8
236,0.15,1.0,1.0
237,0.15,1.0,1.2
238,0.15,1.0,1.4
239,0.15,1.0,1.6
240,0.15,1.0,1.8
241,0.15,1.0,2.0
242,0.3,1e-05,1e-05
243,0.3,1e-05,0.2
244,0.3,1e-05,0.4
245,0.3,1e-05,0.6
246,0.3,1e-05,0.8
247,0.3,1e-05,1.0
248,0.3,1e-05,1.2
249,0.3,1e-05,1.4
250,0.3,1e-05,1.6
251,0.3,1e-05,1.8
252,0.3,1e-05,2.0
253,0.3,0.1,1e-05
254,0.3,0.1,0.2
255,0.3,0.1,0.4
256,0.3,0.1,0.6
257,0.3,0.1,0.8
258,0.3,0.1,1.0
259,0.3,0.1,1.2
260,0.3,0.1,1.4
261,0.3,0.1,1.6
262,0.3,0.1,1.8
263,0.3,0.1,2.0
264,0.3,0.2,1e-05
265,0.3,0.2,0.2
266,0.3,0.2,0.4
267,0.3,0.2,0.6
268,0.3,0.2,0.8
269,0.3,0.2,1.0
270,0.3,0.2,1.2
271,0.3,0.2,1.4
272,0.3,0.2,1.6
273,0.3,0.2,1.8
274,0.3,0.2,2.0
275,0.3,0.3,1e-05
276,0.3,0.3,0.2
277,0.3,0.3,0.4
278,0.3,0.3,0.6
279,0.3,0.3,0.8
280,0.3,0.3,1.0
281,0.3,0.3,1.2
282,0.3,0.3,1.4
283,0.3,0.3,1.6
284,0.3,0.3,1.8
285,0.3,0.3,2.0
286,0.3,0.4,1e-05
287,0.3,0.4,0.2
288,0.3,0.4,0.4
289,0.3,0.4,0.6
290,0.3,0.4,0.8
291,0.3,0.4,1.0
292,0.3,0.4,1.2
293,0.3,0.4,1.4
294,0.3,0.4,1.6
295,0.3,0.4,1.8
296,0.3,0.4,2.0
297,0.3,0.5,1e-05
298,0.3,0.5,0.2
299,0.3,0.5,0.4
300,0.3,0.5,0.6
301,0.3,0.5,0.8
302,0.3,0.5,1.0
303,0.3,0.5,1.2
304,0.3,0.5,1.4
305,0.3,0.5,1.6
306,0.3,0.5,1.8
307,0.3,0.5,2.0
308,0.3,0.6,1e-05
309,0.3,0.6,0.2
310,0.3,0.6,0.4
311,0.3,0.6,0.6
312,0.3,0.6,0.8
313,0.3,0.6,1.0
314,0.3,0.6,1.2
315,0.3,0.6,1.4
316,0.3,0.6,1.6
317,0.3,0.6,1.8
318,0.3,0.6,2.0
319,0.3,0.7,1e-05
320,0.3,0.7,0.2
321,0.3,0.7,0.4
322,0.3,0.7,0.6
323,0.3,0.7,0.8
324,0.3,0.7,1.0
325,0.3,0.7,1.2
326,0.3,0.7,1.4
327,0.3,0.7,1.6
328,0.3,0.7,1.8
329,0.3,0.7,2.0
330,0.3,0.8,1e-05
331,0.3,0.8,0.2
332,0.3,0.8,0.4
333,0.3,0.8,0.6
334,0.3,0.8,0.8
335,0.3,0.8,1.0
336,0.3,0.8,1.2
337,0.3,0.8,1.4
338,0.3,0.8,1.6
339,0.3,0.8,1.8
340,0.3,0.8,2.0
341,0.3,0.9,1e-05
342,0.3,0.9,0.2
