,0,1,2
394,-0.2,0.25,0.2
395,-0.2,0.25,0.225
396,-0.2,0.25,0.25
397,-0.2,0.25,0.275
398,-0.2,0.25,0.3
399,-0.2,0.275,-0.2
400,-0.2,0.275,-0.175
401,-0.2,0.275,-0.15
402,-0.2,0.275,-0.125
403,-0.2,0.275,-0.1
404,-0.2,0.275,-0.075
405,-0.2,0.275,-0.05
406,-0.2,0.275,-0.025
407,-0.2,0.275,0
408,-0.2,0.275,0.025
409,-0.2,0.275,0.05
410,-0.2,0.275,0.075
411,-0.2,0.275,0.1
412,-0.2,0.275,0.125
413,-0.2,0.275,0.15
414,-0.2,0.275,0.175
415,-0.2,0.275,0.2
416,-0.2,0.275,0.225
417,-0.2,0.275,0.25
418,-0.2,0.275,0.275
419,-0.2,0.275,0.3
420,-0.2,0.3,-0.2
421,-0.2,0.3,-0.175
422,-0.2,0.3,-0.15
423,-0.2,0.3,-0.125
424,-0.2,0.3,-0.1
425,-0.2,0.3,-0.075
426,-0.2,0.3,-0.05
427,-0.2,0.3,-0.025
428,-0.2,0.3,0
429,-0.2,0.3,0.025
430,-0.2,0.3,0.05
431,-0.2,0.3,0.075
432,-0.2,0.3,0.1
433,-0.2,0.3,0.125
434,-0.2,0.3,0.15
435,-0.2,0.3,0.175
436,-0.2,0.3,0.2
437,-0.2,0.3,0.225
438,-0.2,0.3,0.25
439,-0.2,0.3,0.275
440,-0.2,0.3,0.3
441,-0.175,-0.2,-0.2
442,-0.175,-0.2,-0.175
443,-0.175,-0.2,-0.15
444,-0.175,-0.2,-0.125
445,-0.175,-0.2,-0.1
446,-0.175,-0.2,-0.075
447,-0.175,-0.2,-0.05
448,-0.175,-0.2,-0.025
449,-0.175,-0.2,0
450,-0.175,-0.2,0.025
451,-0.175,-0.2,0.05
452,-0.175,-0.2,0.075
453,-0.175,-0.2,0.1
454,-0.175,-0.2,0.125
455,-0.175,-0.2,0.15
456,-0.175,-0.2,0.175
457,-0.175,-0.2,0.2
458,-0.175,-0.2,0.225
459,-0.175,-0.2,0.25
460,-0.175,-0.2,0.275
461,-0.175,-0.2,0.3
462,-0.175,-0.175,-0.2
463,-0.175,-0.175,-0.175
464,-0.175,-0.175,-0.15
465,-0.175,-0.175,-0.125
466,-0.175,-0.175,-0.1
467,-0.175,-0.175,-0.075
468,-0.175,-0.175,-0.05
469,-0.175,-0.175,-0.025
470,-0.175,-0.175,0
471,-0.175,-0.175,0.025
472,-0.175,-0.175,0.05
473,-0.175,-0.175,0.075
474,-0.175,-0.175,0.1
475,-0.175,-0.175,0.125
476,-0.175,-0.175,0.15
477,-0.175,-0.175,0.175
478,-0.175,-0.175,0.2
479,-0.175,-0.175,0.225
480,-0.175,-0.175,0.25
481,-0.175,-0.175,0.275
482,-0.175,-0.175,0.3
483,-0.175,-0.15,-0.2
484,-0.175,-0.15,-0.175
485,-0.175,-0.15,-0.15
486,-0.175,-0.15,-0.125
487,-0.175,-0.15,-0.1
488,-0.175,-0.15,-0.075
489,-0.175,-0.15,-0.05
490,-0.175,-0.15,-0.025
491,-0.175,-0.15,0
492,-0.175,-0.15,0.025
493,-0.175,-0.15,0.05
494,-0.175,-0.15,0.075
495,-0.175,-0.15,0.1
496,-0.175,-0.15,0.125
497,-0.175,-0.15,0.15
498,-0.175,-0.15,0.175
499,-0.175,-0.15,0.2
500,-0.175,-0.15,0.225
501,-0.175,-0.15,0.25
502,-0.175,-0.15,0.275
503,-0.175,-0.15,0.3
504,-0.175,-0.125,-0.2
505,-0.175,-0.125,-0.175
506,-0.175,-0.125,-0.15
507,-0.175,-0.125,-0.125
508,-0.175,-0.125,-0.1
509,-0.175,-0.125,-0.075
510,-0.175,-0.125,-0.05
511,-0.175,-0.125,-0.025
512,-0.175,-0.125,0
513,-0.175,-0.125,0.025
514,-0.175,-0.125,0.05
515,-0.175,-0.125,0.075
516,-0.175,-0.125,0.1
517,-0.175,-0.125,0.125
518,-0.175,-0.125,0.15
519,-0.175,-0.125,0.175
520,-0.175,-0.125,0.2
521,-0.175,-0.125,0.225
522,-0.175,-0.125,0.25
523,-0.175,-0.125,0.275
524,-0.175,-0.125,0.3
525,-0.175,-0.1,-0.2
526,-0.175,-0.1,-0.175
527,-0.175,-0.1,-0.15
528,-0.175,-0.1,-0.125
